id,name,spec,gearscore,dps,percent,timestamp,duration,isDead,weird,arkPassiveActive,localPlayer,hasSpec
226472,Gunslinger #3,Gunslinger,1651.6600341796875,44049177,0.32358574702814547,1728532928011,202288,False,True,False,False,False
226472,Deathblade #1,Deathblade,1640.0,45313056,0.33287021630138947,1728532928011,202288,False,True,False,False,False
226472,Bard #4,Bard,1650.0,1822394,0.01338732671145275,1728532928011,202288,False,True,False,False,False
226472,Sorceress #2,Sorceress,1646.6600341796875,44943670,0.3301567026130012,1728532928011,202288,True,True,False,True,False
226473,Artist #4,Artist,1655.0,1609853,0.011987200670510565,1728555461145,200308,False,True,False,False,False
226473,Arcanist #1,Arcanist,1643.5,48036689,0.35768820543857577,1728555461145,200308,False,True,False,False,False
226473,Shadowhunter #3,Shadowhunter,1658.3299560546875,40306317,0.3001267259608246,1728555461145,200308,False,True,False,False,False
226473,Sorceress #2,Sorceress,1646.6600341796875,44344799,0.3301978530377968,1728555461145,200308,False,True,False,True,False
226474,Scrapper #3,Scrapper,1640.0,30130512,0.2389393480971445,1728557056548,213872,False,True,False,False,False
226474,Arcanist #1,Arcanist,1643.5,54151710,0.4294309464686701,1728557056548,213872,False,True,False,False,False
226474,Sorceress #2,Sorceress,1646.6600341796875,40481578,0.3210248089134266,1728557056548,213872,False,True,False,True,False
226474,Bard #4,Bard,1651.6600341796875,1337287,0.010604880660467572,1728557056548,213872,False,True,False,False,False
226475,Arcanist #1,Arcanist,1643.5,55110495,0.4575522897617173,1728557465524,223057,False,True,False,False,False
226475,Bard #4,Bard,1643.3299560546875,1620268,0.01345219877679629,1728557465524,223057,False,True,False,False,False
226475,Sorceress #2,Sorceress,1646.6600341796875,47031778,0.3904791222699916,1728557465524,223057,False,True,False,True,False
226475,Gunlancer #3,Gunlancer,1655.0,16683789,0.13851637258658903,1728557465524,223057,True,True,False,False,False
226476,Deathblade #3,Deathblade,1654.6600341796875,28541449,0.23802665571388212,1728559440828,224163,False,True,False,False,False
226476,Arcanist #1,Arcanist,1643.5,48632714,0.4055814500416463,1728559440828,224163,False,True,False,False,False
226476,Bard #4,Bard,1642.6600341796875,1335420,0.011136980346493007,1728559440828,224163,False,True,False,False,False
226476,Sorceress #2,Sorceress,1646.6600341796875,41399041,0.3452549055582949,1728559440828,224163,False,True,False,True,False
226477,Artist #4,Artist,1649.1600341796875,1523236,0.011001970687201575,1728560531067,194089,False,True,False,False,False
226477,Gunslinger #3,Gunslinger,1642.5,38295918,0.27660229096179134,1728560531067,194089,False,True,False,False,False
226477,Arcanist #2,Arcanist,1643.5,44707835,0.3229140396880356,1728560531067,194089,False,True,False,False,False
226477,Sorceress #1,Sorceress,1646.6600341796875,53924206,0.3894816914402097,1728560531067,194089,False,True,False,True,False
226676,Nadeleine,Soulfist,1655.8299560546875,54572990,0.43480354903910573,1728563343709,214881,False,True,False,True,False
226676,Pistolkatt,Gunslinger,1652.0,37286013,0.2970716975910287,1728563343709,214881,False,True,False,False,False
226676,Saavvy,Sorceress,1659.1600341796875,32321547,0.2575179286682709,1728563343709,214881,False,True,False,False,False
226676,Weslyy,Paladin,1643.3299560546875,1331281,0.010606816734218332,1728563343709,214881,False,True,False,False,False
226839,Grosjh,Striker,1652.5,42890796,0.3034025773022385,1728563567989,190605,False,True,False,False,False
226839,Kuchie,Sorceress,1652.5,44233775,0.3129025942723778,1728563567989,190605,False,True,False,False,False
